ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000110881	ASIC1,monoatomic cation channel activity,ligand-gated sodium channel activity,protein binding,sodium ion transport,response to acidic ph,sensory perception of sour taste
ENSG00000213199	ASIC3,monoatomic cation channel activity,polarization response to ph change,sodium ion transport,detection of chemical stimulus involved in sensory perception,detection of temperature stimulus involved in sensory perception,sodium ion transmembrane transport
ENSG00000262505	ASIC5,ligand-gated sodium channel activity,proton channel activity,na+ transport,sodium ion transmembrane transport,plasma membrane localization,acid-sensing function
ENSG00000226887	ERVMER34-1,immune system modulation,envelope protein function,plasma membrane localization,extracellular region presence,none,none
ENSG00000112855	HARS2,trna aminoacylation,histidine-trna ligase activity,aminoacyl-trna ligase activity,translation regulation,protein synthesis,cytosolic localization
ENSG00000090013	BLVRB,fmn reductase activity,heme catabolic process,insulin receptor signaling pathway,biliverdin reduction,nad(p)-binding domain-containing protein,megakaryocyte differentiation
ENSG00000108639	SYNGR2,regulated exocytosis,protein binding,synaptic vesicle membrane organization,neuromuscular junction function,lipid droplet association,membrane protein interaction
ENSG00000144644	GADL1,acidic amino acid decarboxylase activity,carboxy-lyase activity,pyridoxal phosphate binding,carboxylic acid metabolic process,cytosol localization,cancer metabolism regulation
ENSG00000088826	SMOX,oxidoreductase activity,spermine oxidase activity,polyamine oxidase activity,xenobiotic metabolic process,polyamine biosynthetic process,spermine catabolic process
ENSG00000100170	SLC5A1,sodium-glucose cotransporter activity,d-glucose import across plasma membrane,myo-inositol transport,alpha-glucoside transport,sodium ion import across plasma membrane,intestinal hexose absorption
ENSG00000086991	NOX4,reactive oxygen species production,superoxide anion generation,protein binding,oxidoreductase activity,flavin adenine dinucleotide binding,heme binding
ENSG00000255346	NOX5,superoxide-generating nad(p)h oxidase activity,calcium ion binding,nadp binding,oxidoreductase activity,super-oxide anion generation,angiogenesis
ENSG00000176407	KCMF1,e3 ubiquitin-protein ligase activity,transferase activity,zinc ion binding,metal ion binding,negative regulation of hri-mediated signaling,proteasome-mediated ubiquitin-dependent protein catabolic process
ENSG00000196371	FUT4,alpha-(1,3)-fucosyltransferase activity,fucosylation,glycosylation,immune cell migration,inflammatory response
ENSG00000160131	VMA21,vacuolar atpase assembly,integral membrane protein activity,protein binding,atp-dependent activity regulation,vacuolar proton-transporting complex assembly,endoplasmic reticulum-golgi intermediate compartment membrane localization
ENSG00000102057	KCND1,a-type potassium channel activity,kv4 potassium channel subunit,potassium ion transport,transmembrane transport,plasma membrane localization,neuronal cell body
ENSG00000104848	KCNA7,voltage-gated potassium channel activity,kv7 subfamily function,potassium ion transport,action potential regulation,delayed rectifier potassium channel activity,plasma membrane localization
ENSG00000135519	KCNH3,voltage-gated inwardly rectifying potassium channel activity,potassium channel activity,protein binding,k+ ion transmembrane transport,membrane potential regulation,plasma membrane localization
ENSG00000055118	KCNH2,voltage-gated potassium channel activity,inward rectifier potassium channel activity,potassium ion transport,membrane repolarization,kcnh2 regulation,voltage-gated potassium channel complex localization
ENSG00000117013	KCNQ4,potassium channel activity,voltage-gated potassium channel activity,potassium ion transport,sensory perception of sound,inner ear morphogenesis,plasma membrane localization
ENSG00000089558	KCNH4,voltage-gated potassium channel activity,potassium channel activity,regulation of membrane potential,k+ transport,transmembrane transport,monoatomic ion channel complex localization
ENSG00000129159	KCNC1,voltage-gated potassium channel activity,kinase activity,k potassium ion transmembrane transport,regulation of presynaptic membrane potential,cellular response to xenobiotic stimulus,plasma membrane localization
ENSG00000156486	KCNS2,potassium channel activity,potassium channel regulator activity,voltage-gated potassium channel activity,k+ ion transmembrane transport,regulation of potassium ion transport,protein binding in voltage-gated channels
ENSG00000162975	KCNF1,voltage-gated potassium channel regulatory subunit activity,potassium ion transport regulation,k+ channel regulator function,protein binding,regulation of action potential,transmembrane transport
ENSG00000171126	KCNG3,voltage-gated potassium channel regulation,action potential regulation,potassium ion transport,transmembrane transport,protein homooligomerization,plasma membrane localization
ENSG00000124134	KCNS1,potassium channel activity,regulation of potassium ion transmembrane transport,potassium ion transport,potassium channel regulator activity,voltage-gated potassium channel activity,protein binding
ENSG00000168418	KCNG4,potassium channel regulator activity,potassium channel activity,voltage-gated potassium channel activity,transmembrane transporter binding,regulation of potassium ion transport,action potential regulation
ENSG00000171385	KCND3,voltage-gated potassium channel activity,action potential regulation,heart rate regulation,membrane repolarization,potassium ion transport,cellular excitability disruption
ENSG00000140015	KCNH5,potassium ion transport,delayed rectifier potassium channel activity,g2/m transition regulation,potassium channel activity,calmodulin binding,membrane potential regulation
ENSG00000182255	KCNA4,potassium ion binding,delayed rectifier potassium channel activity,voltage-gated monoatomic ion channel activity,regulation of presynaptic membrane potential,kappa ion transport,potassium channel activity
ENSG00000183960	KCNH8,voltage-gated potassium channel activity,potassium channel activity,delayed rectifier potassium channel activity,potassium ion transmembrane transport,regulation of membrane potential,plasma membrane localization
ENSG00000184611	KCNH7,voltage-gated potassium channel activity,inward rectifier potassium channel activity,potassium ion transport,regulation of membrane potential,circadian rhythm regulation,plasma membrane localization
ENSG00000184408	KCND2,voltage-gated potassium channel activity,a-type (transient outward) potassium channel activity,potassium channel activity,metal ion binding,kv4.2-kchip2 channel complex localization,none
ENSG00000085377	PREP,serine-type endopeptidase activity,protein binding,oligopeptide activity,proteolysis,cytosol localization,nucleus localization
ENSG00000177272	KCNA3,voltage-gated potassium channel activity,delayed rectifier potassium channel activity,action potential regulation,corpus callosum development,ion transport regulation,plasma membrane localization
ENSG00000143105	KCNA10,voltage-gated potassium channel activity,potassium ion transport,action potential generation,protein homooligomerization,delayed rectifier potassium channel activity,kv channel family
ENSG00000116396	KCNC4,voltage-gated potassium channel activity,potassium channel activity,delayed rectifier potassium channel activity,kcnc4 protein binding,action potential generation,synaptic transmission regulation
ENSG00000026559	KCNG1,potassium channel activity,k potassium channel regulator activity,voltage-gated potassium channel activity,monoatomic ion transmembrane transport,regulation of potassium ion transport,protein homooligomerization
ENSG00000168263	KCNV2,potassium channel activity,potassium ion transport,action potential regulation,voltage-gated potassium channel complex localization,protein binding,cellular excitability
ENSG00000111262	KCNA1,voltage-gated potassium channel activity,kalium voltage-gated channel subfamily a member 1,neuronal signal transduction,potassium ion transport,regulation of postsynaptic membrane potential,magnesium ion homeostasis
ENSG00000182674	KCNB2,voltage-gated potassium channel activity,delayed rectifier potassium channel activity,potassium ion transport,smooth muscle contraction regulation,action potential regulation,protein binding
ENSG00000131398	KCNC3,voltage-gated potassium channel activity,potassium ion transport,kcnc3 regulation of action potential generation,cortical actin cytoskeleton organization,potassium ion transmembrane transport,metal ion binding
ENSG00000164794	KCNV1,potassium channel activity,kv channel regulation,ion transport and transmembrane transport,cellular excitability modulation,action potential generation,protein homooligomerization
ENSG00000284980	AGPAT5,phosphatidylinositol acyl-chain remodeling,hematopoietic progenitor cell differentiation,1-acylglycerol-3-phosphate o-acyltransferase activity,acylglycerol metabolic process,phospholipid biosynthetic process,endoplasmic reticulum localization
ENSG00000143797	MBOAT2,lipid modification,phospholipid biosynthesis,endoplasmic reticulum localization,acyl-chain remodeling,regulation of chondrocyte differentiation,phospholipid metabolic process
ENSG00000172954	LCLAT1,phospholipid biosynthesis,acylation activity,lipid remodeling,endoplasmic reticulum localization,phosphatidylinositol acyl-chain remodeling,cardiolipin acyl-chain remodeling
ENSG00000026652	AGPAT4,phosphatidic acid biosynthesis,acyltransferase activity,lipid metabolic process,cell membrane structure,endoplasmic reticulum localization,mitochondrial outer membrane localization
ENSG00000172197	MBOAT1,phospholipid biosynthesis,histone kinase activity,lysophospholipid acyltransferase activity,lipid modification,endoplasmic reticulum membrane localization,acylation of lysophospholipids
ENSG00000129951	PLPPR3,phosphatidic acid phosphatase activity,signal transduction,phospholipid metabolic process,plasma membrane localization,phospholipid dephosphorylation,membrane protein function
ENSG00000168000	BSCL2,lipid droplet formation,lipid metabolic process,phospholipid binding,promoting cold-induced thermogenesis,lipid catabolic regulation,lipid storage organization
ENSG00000117600	PLPPR4,phosphatidate phosphatase activity,lysophosphatidic acid phosphatase activity,regulation of chemical synaptic transmission,inner ear development,signal transduction,glutamatergic signaling
ENSG00000158669	GPAT4,phospholipid biosynthesis,lysophosphatidic acid acyltransferase activity,1-acylglycerol-3-phosphate o-acyltransferase activity,o-acyltransferase activity,glycerol-3-phosphate metabolic process,diacylglycerol metabolic process
ENSG00000160216	AGPAT3,phosphatidic acid biosynthesis,phospholipid metabolism,lysophosphatidic acid acylation,acyltransferase activity,1-acylglycerol-3-phosphate o-acyltransferase activity,plasma membrane localization
ENSG00000186281	GPAT2,phosphatidic acid biosynthesis,glycerophospholipid metabolic process,acyltransferase activity,lipid metabolism,mitochondrial outer membrane localization,none
ENSG00000105520	PLPPR2,phosphatidic acid phosphatase activity,phospholipid metabolic process,signal transduction,plasma membrane localization,protein binding,phospholipid dephosphorylation
ENSG00000138678	GPAT3,lysophosphatidic acid acyltransferase activity,1-acylglycerol-3-phosphate o-acyltransferase activity,glycerol-3-phosphate o-acyltransferase activity,lipid biosynthesis,phospholipid biosynthetic process,tor signaling regulation
ENSG00000156738	MS4A1,cell surface receptor signaling,histone kinase activity,epidermal growth factor receptor binding,mhc class ii protein complex binding,immunoglobulin binding,ca2+ import into cytosol
ENSG00000215203	GRXCR1,protein binding,vestibular receptor cell development,sensory perception of sound,inner ear receptor cell stereocilium organization,cellular redox balance regulation,kinocilia localization
ENSG00000166391	MOGAT2,lipid metabolic process,glycerol metabolic process,intestinal absorption,diacylglycerol biosynthesis,triacylglycerol biosynthesis,monoacylglycerol biosynthesis
ENSG00000106384	MOGAT3,acyltransferase activity,2-acylglycerol o-acyltransferase activity,diacylglycerol biosynthesis,glycerol metabolic process,lipid metabolic process,endoplasmic reticulum localization
ENSG00000116745	RPE65,visual perception,retina homeostasis,oxidoreductase activity,phosphatidylserine binding,vitamin a metabolism,lipid metabolic process
ENSG00000042445	RETSAT,retinol 13,14-reductase activity,oxidoreductase activity,retinoid metabolic process,lipid metabolic process,endoplasmic reticulum localization
ENSG00000124003	MOGAT1,diacylglycerol biosynthesis,lipid metabolic process,glycerol metabolic process,triglyceride biosynthetic process,acyltransferase activity,endoplasmic reticulum localization
ENSG00000147160	AWAT2,retinol metabolic process,lipid metabolic process,acylglycerol acyl-chain remodeling,membrane localization,lipid-modulating activity,wax biosynthesis
ENSG00000143418	CERS2,sphingosine n-acyltransferase activity,ceramide biosynthetic process,lipid metabolic process,negative regulation of schwann cell proliferation,response to immobilization stress,sphingolipid metabolic process
ENSG00000154227	CERS3,sphingosine n-acyltransferase activity,dna binding,lipid metabolic process,ceramide biosynthesis,sphingolipid metabolic process,keratinocyte differentiation
ENSG00000172292	CERS6,sphingolipid metabolic process,ceramide biosynthetic process,lipid metabolic process,inflammatory response,sphingosine n-acyltransferase activity,transferase activity
ENSG00000078124	ACER3,ceramide metabolic process,sphingosine biosynthetic process,sphingolipid metabolic process,n-acylsphingosine amidohydrolase activity,hydrolase activity,membrane localization
ENSG00000073605	GSDMB,phosphatidylinositol-4-phosphate binding,phosphatidylserine binding,pyroptotic inflammatory response,programmed cell death,plasma membrane localization,pore-forming activity
ENSG00000143110	C1orf162,transmembrane protein activity,cell adhesion molecule activity,growth factor receptor signaling,membrane interaction regulation,extracellular matrix interaction,cell migration and invasion
ENSG00000083454	P2RX5,extracellular atp-gated monoatomic cation channel activity,monoatomic ion transmembrane transport,response to zinc ion,signal transduction,calcium ion transmembrane transport,purinergic nucleotide receptor signaling pathway
ENSG00000109991	P2RX3,extracellularly atp-gated monoatomic cation channel activity,atp binding,purinergic nucleotide receptor activity,calcium ion transmembrane transport,neuromuscular synaptic transmission,synaptic plasticity regulation
ENSG00000089041	P2RX7,extracellular atp-gated monoatomic cation channel activity,purinergic nucleotide receptor activity,apoptotic signaling pathway,bone mineralization regulation,monoatomic ion transmembrane transport,signaling receptor binding
ENSG00000187848	P2RX2,atp-gated monoatomic cation channel activity,atp binding,purinergic nucleotide receptor activity,detection of hypoxic conditions,calcium ion transmembrane transport,purinergic nucleotide receptor signaling pathway
ENSG00000135124	P2RX4,extracellularly atp-gated monoatomic cation channel activity,signaling receptor binding,regulation of tissue homeostasis,endothelial cell activation,response to ischemia,calcium ion transmembrane transport
ENSG00000099957	P2RX6,atp-gated monoatomic cation channel activity,purinergic nucleotide receptor activity,calcium ion transmembrane transport,excitatory postsynaptic potential,muscle contraction,purinergic nucleotide receptor signaling pathway
ENSG00000170293	CMTM8,chemotaxis,mylination,cytokine activity,signal transduction,structural constituent of myelin sheath,membrane localization
ENSG00000153551	CMTM7,cytokine activity,extracellular space localization,chemotaxis,signal transduction,b-1a b cell differentiation,protein binding
ENSG00000143515	ATP8B2,phospholipid transport,atpase-coupled intramembrane lipid transporter activity,phosphatidylcholine flippase activity,monoatomic ion transmembrane transport,golgi organization,phospholipid translocation
ENSG00000132932	ATP8A2,phospholipid-transporting atpase activity,atp binding,magnesium ion binding,phosphatidylserine flippase activity,lipid transport,neuromuscular process controlling posture
ENSG00000109738	GLRB,chloride channel activity,neurotransmitter receptor activity,transmembrane signaling,glycine binding,monoatomic ion transport,synaptic transmission
ENSG00000145451	GLRA3,chloride channel activity,glycine binding,monoatomic ion transmembrane transport,chloride transmembrane transport,neurotransmission regulation,none
ENSG00000165973	NELL1,calcium ion binding,cell differentiation,apoptotic process regulation,osteoblast differentiation regulation,bone mineralization regulation,protein kinase c binding
ENSG00000184613	NELL2,protein kinase c binding,identical protein binding,ca2+ ion binding,heparin binding,fertilization,cellular homeostasis
ENSG00000135902	CHRND,transmitter-gated monoatomic ion channel activity,ligand-gated monoatomic ion channel activity,skeletal muscle contraction,cholinergic signaling pathway,neuromuscular transmission,membrane depolarization
ENSG00000147434	CHRNA6,neurotransmitter-gated ion-channel ligand-binding domain-containing protein activity,acetylcholine-gated monoatomic cation-selective channel activity,protein binding,dopamine secretion regulation,synaptic transmission modulation,cell communication regulation
ENSG00000147432	CHRNB3,acetylcholine-gated channel activity,heterocyclic compound binding,monoatomic ion transmembrane transport,postsynaptic membrane potential regulation,synaptic transmission regulation,neurotransmission role
ENSG00000108556	CHRNE,monoatomic ion transport,monoatomic ion transmembrane transport,cholinergic signaling,regulation of postsynaptic membrane potential,synaptic transmission,signal transduction
ENSG00000169684	CHRNA5,nicotinic acetylcholine receptor activity,ligand-gated ion channel function,synaptic transmission regulation,monoatomic ion transport,acetylcholine receptor signaling,membrane depolarization
ENSG00000174343	CHRNA9,acetylcholine-gated monoatomic cation-selective channel activity,transmembrane signaling receptor activity,calcium channel activity,protein binding,detection of mechanical stimulus involved in sensory perception of sound,response to auditory stimulus
ENSG00000080644	CHRNA3,ligand-gated monoatomic ion channel activity,transmembrane signaling receptor activity,protein binding,acetylcholine binding,regulation of smooth muscle contraction,activation of transmembrane receptor protein tyrosine kinase activity
ENSG00000160716	CHRNB2,acetylcholine receptor signaling pathway,neurotransmitter-gated ion channel activity,locomotory behavior,regulation of postsynaptic membrane potential,sensory perception of sound,central nervous system projection neuron axonogenesis
ENSG00000101204	CHRNA4,ligand-gated ion channel activity,transmembrane signaling receptor activity,acetylcholine binding,sensory perception of pain,regulation of membrane potential,action potential
ENSG00000120903	CHRNA2,transmembrane signaling receptor activity,heterocyclic compound binding,quaternary ammonium group binding,acetylcholine-gated monoatomic cation-selective channel activity,neurotransmission,cholinergic signaling pathway
ENSG00000274542	CHRNA7,nicotinic acetylcholine receptor activity,amyloid-beta binding,calcium ion transport,excitatory postsynaptic potential regulation,long-term synaptic potentiation modulation,synaptic transmission regulation
ENSG00000158987	RAPGEF6,gtp-dependent protein binding,small gtpase binding,guanine nucleotide exchange factor activity,plasma membrane localization,microvillus assembly,ras protein signal transduction
ENSG00000173706	HEG1,egf-like domain-containing protein activity,ca2+ ion binding,protein-protein interaction,promoting vascular growth,angiogenesis promotion,negative regulation of rho-dependent signaling
ENSG00000125170	DOK4,mapk cascade regulation,cytosol localization,cell surface receptor binding,signal transduction adapter,nervous system development influence,tumor behavior modulation
ENSG00000213445	SIPA1,gtpase activator activity,protein binding,negative regulation of cell growth,negative regulation of cell adhesion,epithelial cell morphogenesis,adaptive immune response
ENSG00000001631	KRIT1,phosphatidylinositol-4,5-bisphosphate binding,gtpase regulator activity,microtubule binding,angiogenesis regulation,cell polarity establishment
ENSG00000076864	RAP1GAP,gtpase activator activity,small gtpase binding,protein homodimerization activity,gtpase activity,regulation of small gtpase mediated signal transduction,negative regulation of neuron differentiation
ENSG00000134824	FADS2,oxidoreductase activity,linoleoyl-coa desaturase activity,lipid metabolic process,cellular response to oxidative stress,unsaturated fatty acid biosynthetic process,arachidonate metabolite production involved in inflammatory response
ENSG00000066322	ELOVL1,fatty acid elongase activity,transferase activity,protein binding,fatty acid biosynthesis,very long-chain fatty acid biosynthesis,endoplasmic reticulum membrane localization
ENSG00000101236	RNF24,metal ion binding,zinc ion binding,protein binding,membrane localization,golgi apparatus localization,golgi membrane localization
ENSG00000240021	TEX35,testis-expressed protein,microtubule cytoskeleton localization,nuclear organization,cell division regulation,cancer-specific function unknown,none
ENSG00000116191	RALGPS2,guanyl-nucleotide exchange factor activity,protein binding,ras protein signal transduction,small gtpase-mediated signal transduction,plasma membrane localization,cytoplasmic localization
ENSG00000053371	AKR7A2,electron transfer activity,aldo-keto reductase (nadph) activity,oxidoreductase activity,mitochondrial localization,cytosol localization,golgi apparatus localization
ENSG00000125815	CST8,cysteine-type endopeptidase inhibitor activity,cell surface localization,extracellular region presence,cytoplasmic presence,protein degradation regulation,tumor progression promotion
ENSG00000140577	CRTC3,transcription coactivator activity,lipid catabolic process regulation,energy homeostasis,cellular response to camp,creb binding,transcriptional regulation
ENSG00000285140	TSSK4,histone kinase activity,chromatin remodeling,protein serine/threonine kinase activity,histone modification,cell differentiation,spermatogenesis
ENSG00000146592	CREB5,camp response element binding,rna polymerase ii-specific transcription factor activity,dna-binding transcription factor activity,regulation of dna-templated transcription,regulation of transcription by rna polymerase ii,chromatin localization
ENSG00000234539	ATF6B,endoplasmic reticulum unfolded protein response,transcription cis-regulatory region binding,dna-binding transcription activator activity,rna polymerase ii-specific transcription factor activity,sequence-specific double-stranded dna binding,negative regulation of atf6-mediated unfolded protein response
ENSG00000116791	CRYZ,quinone oxidoreductase activity,rna binding,nadh/nadph binding,oxidative stress protection,xenobiotic degradation,visual perception regulation
ENSG00000187642	PERM1,transcriptional regulation,muscle function,dna-templated transcription,cytoplasmic/nuclear localization,response to muscle activity,regulation of gene expression
ENSG00000051108	HERPUD1,er-associated degradation,endoplasmic reticulum calcium ion homeostasis,ubiquitin-like ligase-substrate adaptor activity,protein targeting to er,retrograde protein transport,negative regulation of intrinsic apoptotic signaling pathway
ENSG00000170145	SIK2,histone kinase activity,protein serine kinase activity,insulin receptor signaling pathway,chromatin remodeling,histone modification,endoplasmic reticulum localization
ENSG00000100796	PPP4R3A,protein phosphatase regulator activity,protein phosphatase activator activity,regulation of double-strand break repair,dna damage response,centrosome localization,nucleoplasmic localization
ENSG00000275052	PPP4R3B,protein phosphatase regulator activity,protein phosphatase activator activity,regulation of double-strand break repair,gluconeogenesis,positive regulation of gluconeogenesis,dna damage response
ENSG00000111727	HCFC2,transcription coactivator activity,chromatin remodeling,immune response,dna-templated transcription,histone modification,nuclear body localization
ENSG00000164463	CREBRF,regulation of dna-templated transcription,rna polymerase ii transcription regulatory region sequence-specific dna binding,dna-binding transcription activator activity,response to unfolded protein stress,negative regulation of transcription by rna polymerase ii,transcription factor activity in the nucleus.
ENSG00000165516	KLHDC2,ubiquitin-like ligase-substrate adaptor activity,protein binding,cul2-ring ubiquitin ligase complex,ubiquitin-dependent protein catabolic process via c-end degron rule pathway,nuclear body localization,cellular homeostasis regulation
ENSG00000137504	CREBZF,epigenetic regulation,transcriptional control,dna-binding activity,cellular stress response,negative regulation of gene expression,chromatin remodeling
ENSG00000112246	SIM1,rna polymerase ii-specific dna-binding transcription factor activity,dna-binding transcription factor activity,protein binding,cell differentiation,nervous system development,ureteric bud development
ENSG00000111328	CDK2AP1,cell cycle regulation,dna replication regulation,transcriptional regulation,rna polymerase ii interaction,genome stability maintenance,nurd complex association
ENSG00000116254	CHD5,chromatin remodeling,histone binding,dna binding,transcriptional control,negative regulation of cell proliferation,cell differentiation
ENSG00000230522	MBD3L2,methyl-cpg binding,transcriptional regulation,negative regulation of transcription by rna polymerase ii,chromatin remodeling,dna methylation-dependent heterochromatin formation,nucleus localization
ENSG00000170948	MBD3L1,methyl-cpg binding,epigenetic regulation,negative transcriptional regulation,dna methylation-dependent heterochromatin formation,nuclear localization,protein-protein interaction
ENSG00000140044	JDP2,transcription factor activity,rna polymerase ii-specific,histone deacetylase binding,dna-binding transcription repressor activity,chromatin remodeling,negative regulation of fat cell differentiation
ENSG00000120937	NPPB,cell growth inhibition,receptor guanylyl cyclase signaling,vasodilation,blood pressure regulation,angiogenesis,cell surface receptor signaling
ENSG00000170653	ATF7,dna-binding transcription factor activity,mitogen-activated protein kinase binding,regulation of dna-templated transcription,sequence-specific double-stranded dna binding,positive regulation of transcription by rna polymerase ii,chromatin localization
ENSG00000100307	CBX7,negative regulation of transcription,histone modification,chromatin organization,prc1 complex formation,pcg protein complex interaction,protein binding
ENSG00000185619	PCGF3,histone ubiquitin ligase activity,chromatin remodeling,x chromosome location,random x chromosome inactivation,transcriptional repression,prc1 complex component
ENSG00000143569	UBAP2L,stress granule assembly,rna binding,protein binding,cytoplasmic localization,hematopoietic stem cell regulation,positive regulation of stress granule assembly
ENSG00000108799	EZH1,histone h3k27 trimethyltransferase activity,chromatin binding,heterochromatin formation,gene silencing,oncogene activation,epigenetic regulation
ENSG00000089163	SIRT4,nad+ binding,histone deacetylase activity,nucleotidyltransferase activity,glutamine metabolism,fatty acid oxidation,mitochondrial localization
ENSG00000283100	SIRT2,sirtuin activity,histone deacetylase activity,tubulin deacetylase activity,epigenetic regulation,cell cycle regulation,apoptosis regulation
ENSG00000059728	MXD1,rna polymerase ii-specific transcription factor activity,dna-binding transcription repressor activity,negative regulation of transcription by rna polymerase ii,protein dimerization activity,chromatin localization,mitochondrion localization
ENSG00000177426	TGIF1,transcriptional regulation,rna polymerase ii specificity,dna-binding activity,chromatin remodeling,co-smad binding,xenobiotic response
ENSG00000138433	CIR1,protein complex binding,transcription corepressor activity,rna splicing,mrna processing,negative regulation of dna-templated transcription,nuclear speck localization
ENSG00000117036	ETV3,ets transcription factor activity,dna-binding transcription repressor activity,negative regulation of transcription by rna polymerase ii,rna helicase binding,chromatin localization,transcriptional regulation
ENSG00000064703	DDX20,rna helicase activity,histone-modifying interactions,rna processing and splicing,dna-templated transcription regulation,apoptotic process regulation,smn complex interaction
ENSG00000166049	PASD1,dna-binding transcription factor binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,negative regulation of dna-templated transcription,regulation of transcription by rna polymerase ii,nuclear localization,circadian rhythm regulation
ENSG00000124201	ZNFX1,helicase activity,metal ion binding,zinc ion binding,innate immune response,viral genome replication regulation,cytoplasmic stress granule localization
ENSG00000140320	BAHD1,transcriptional cis-regulatory region binding,chromatin binding,protein binding,heterochromatin formation,negative regulation of dna-templated transcription,chromatin silencing complex assembly
ENSG00000015171	ZMYND11,zinc ion binding,transcription corepressor activity,methylated histone binding,negative regulation of jnk cascade,nucleoplasm localization,chromatin organization
ENSG00000104921	FCER2,ige binding,integrin binding,carbohydrate binding,protein binding,pattern recognition receptor activity,low-affinity ige receptor activity
ENSG00000171611	PTCRA,pre-t cell antigen receptor alpha subunit activity,protein binding,negative regulation of thymocyte apoptotic process,membrane localization,t cell development regulation,none
ENSG00000099954	CECR2,chromatin remodeling,nucleus localization,bromo domain-containing protein function,atp-dependent activity,atp-dependent chromatin remodeler execution phase of apoptosis,inner ear receptor cell stereocilium organization
ENSG00000157540	DYRK1A,dual specificity tyrosine-phosphorylation-regulated kinase activity,histone kinase activity,protein serine/threonine/tyrosine kinase activity,negative regulation of dna damage response,amyloid-beta formation,circadian rhythm regulation
ENSG00000166886	NAB2,transcription corepressor activity,regulation of dna-templated transcription,myelination,schwann cell differentiation,negative regulation of dna-templated transcription,protein binding
ENSG00000138386	NAB1,transcription coregulator activity,regulation of dna-templated transcription,myelination,negative regulation of dna-templated transcription,endochondral ossification,ngfi-a binding protein 1 function
ENSG00000135457	TFCP2,sequence-specific double-stranded dna binding,rna polymerase ii-specific dna-binding transcription activator activity,dna biosynthetic process,mrna transcription by rna polymerase ii,nuclear localization,chromatin regulation
ENSG00000118707	TGIF2,transcriptional regulation,dna-binding activity,rna polymerase ii regulation,nodal signaling pathway,cell differentiation,gastrulation
ENSG00000153487	ING1,methylated histone binding,protein binding,metal ion binding,negative regulation of cell growth,regulation of programmed cell death,chromatin organization
ENSG00000103449	SALL1,transcriptional regulation,kidney epithelium development,ureteric bud morphogenesis,rna polymerase ii interaction,dna-binding transcription factor activity,tumor suppressor function
ENSG00000119866	BCL11A,gene expression regulation,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,metal ion binding,negative regulation of dendrite development,transcriptional repression
ENSG00000109424	UCP1,adaptive thermogenesis,oxidative phosphorylation uncoupling activity,mitochondrial transport,transmembrane transporter activity,gtp binding,cytoplasmic membrane localization
ENSG00000125618	PAX8,transcriptional regulator,kidney and thyroid gland development,metanephric nephron tubule differentiation,branching morphogenesis of ureteric bud,dna-binding transcription factor activity,regulation of apoptosis
ENSG00000181444	ZNF467,transcriptional regulation,rna polymerase ii-specific activity,dna-binding transcription factor activity,regulation of dna-templated transcription,metal ion binding,nucleus localization
ENSG00000148671	ADIRF,adipogenesis regulatory function,fat cell differentiation promotion,transcriptional regulation,protein binding,nucleoplasmic localization,cytosolic presence
ENSG00000102554	KLF5,transcriptional regulation,dna-binding activity,microvillus assembly,angiogenesis,fat cell differentiation,nucleus localization
ENSG00000185551	NR2F2,retinoic acid binding,transcriptional regulation,nuclear receptor activity,dna-binding transcription factor activity,zinc ion binding,plasma membrane localization
ENSG00000115548	KDM3A,lysine demethylase activity,histone h3k9 demethylase activity,spermatogenesis regulation,cell differentiation regulation,formaldehyde biosynthesis regulation,nuclear localization
ENSG00000171316	CHD7,chromatin remodeling,histone chaperone activity,atp-dependent helicase activity,regulation of gene expression,neurogenesis regulation,blood vessel remodeling
ENSG00000102935	ZNF423,transcription factor activity,rna polymerase ii-specific,dna-binding transcription factor activity,c2h2-type domain-containing protein,nucleoplasm localization,regulation of dna-templated transcription
ENSG00000123685	BATF3,basic leucine zipper transcriptional factor activity,dna-binding transcription repressor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,chromatin localization
ENSG00000168062	BATF2,dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,rna polymerase ii-specific,dna-binding transcription factor activity,cell differentiation,immune response regulation
ENSG00000285426	RNF187,ubiquitin-protein transferase activity,proteasome-mediated ubiquitin-dependent protein catabolism,protein autoubiquitination,positive regulation of cell population proliferation,positive regulation of dna-templated transcription,metal ion binding
ENSG00000067082	KLF6,transcription activator activity,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,b cell differentiation,regulation of transcription by rna polymerase ii,molecular function as histone h2bs36 kinase activity
ENSG00000064490	RFXANK,transcriptional co-regulator,rna polymerase ii-specific dna binding,protein binding,histone deacetylase binding,mhc class ii biosynthetic process regulation,cytoplasmic and nuclear localization
ENSG00000183337	BCOR,ubiquitin-protein transferase activity,rna polymerase ii transcription regulatory region sequence-specific dna binding,chromatin organization,negative regulation of dna-templated transcription,transcriptional corepressor activity,heart development
